,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds,Damage Diff Per 30,KD Diff Per 30,Kills Per 30,Deaths Per 30,Damage Dealt Per 30,Damage Taken Per 30
963,Back B Site Peeking Apps/Plat,huNter-,3,1,2,338,76,262,T,176,44.65909090909091,0.34090909090909094,0.5113636363636364,0.17045454545454547,57.61363636363636,12.954545454545455
964,Top Mid Left Side,huNter-,0,1,-1,0,100,-100,CT,141,-21.27659574468085,-0.2127659574468085,0.0,0.2127659574468085,0.0,21.27659574468085
965,Top Mid Left Side,huNter-,0,2,-2,94,316,-222,T,176,-37.84090909090909,-0.34090909090909094,0.0,0.34090909090909094,16.022727272727273,53.86363636363636
966,Jungle Plant,huNter-,0,1,-1,0,68,-68,CT,141,-14.468085106382977,-0.2127659574468085,0.0,0.2127659574468085,0.0,14.468085106382977
967,Jungle Plant,huNter-,1,0,1,36,0,36,T,176,6.136363636363637,0.17045454545454547,0.17045454545454547,0.0,6.136363636363637,0.0
968,Right Side Platform,huNter-,0,0,0,0,10,-10,CT,141,-2.127659574468085,0.0,0.0,0.0,0.0,2.127659574468085
969,Right Side Platform,huNter-,0,1,-1,27,100,-73,T,176,-12.443181818181818,-0.17045454545454547,0.0,0.17045454545454547,4.6022727272727275,17.045454545454547
970,Bottom Mid Ladder Room Peek,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
971,Bottom Mid Ladder Room Peek,huNter-,0,2,-2,78,200,-122,T,176,-20.795454545454547,-0.34090909090909094,0.0,0.34090909090909094,13.295454545454545,34.09090909090909
972,Close Left CT A Ramp,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
973,Close Left CT A Ramp,huNter-,0,0,0,0,0,0,T,176,0.0,0.0,0.0,0.0,0.0,0.0
974,Semi Elevated CT Van,huNter-,0,1,-1,0,100,-100,CT,141,-21.27659574468085,-0.2127659574468085,0.0,0.2127659574468085,0.0,21.27659574468085
975,Semi Elevated CT Van,huNter-,0,0,0,0,0,0,T,176,0.0,0.0,0.0,0.0,0.0,0.0
976,T Deep apps,huNter-,0,1,-1,93,100,-7,CT,141,-1.4893617021276597,-0.2127659574468085,0.0,0.2127659574468085,19.78723404255319,21.27659574468085
977,T Deep apps,huNter-,0,0,0,0,0,0,T,176,0.0,0.0,0.0,0.0,0.0,0.0
978,Murder Hole,huNter-,0,1,-1,0,185,-185,CT,141,-39.361702127659576,-0.2127659574468085,0.0,0.2127659574468085,0.0,39.361702127659576
979,Murder Hole,huNter-,2,0,2,200,24,176,T,176,30.0,0.34090909090909094,0.34090909090909094,0.0,34.09090909090909,4.090909090909091
980,Right Side Connector,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
981,Right Side Connector,huNter-,4,0,4,498,103,395,T,176,67.32954545454545,0.6818181818181819,0.6818181818181819,0.0,84.88636363636364,17.55681818181818
982,Safe Plant B Site,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
983,Safe Plant B Site,huNter-,0,1,-1,0,86,-86,T,176,-14.65909090909091,-0.17045454545454547,0.0,0.17045454545454547,0.0,14.65909090909091
984,Top Mid Boxes Right Side Peek,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
985,Top Mid Boxes Right Side Peek,huNter-,0,0,0,0,0,0,T,176,0.0,0.0,0.0,0.0,0.0,0.0
986,Bench Closer to Tribox,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
987,Bench Closer to Tribox,huNter-,0,1,-1,0,108,-108,T,176,-18.40909090909091,-0.17045454545454547,0.0,0.17045454545454547,0.0,18.40909090909091
988,T Deep Apps Underpass/Apps Peek,huNter-,1,0,1,76,54,22,CT,141,4.680851063829787,0.2127659574468085,0.2127659574468085,0.0,16.170212765957448,11.48936170212766
